"age","year","sex","n","mean_smoke_freq","mean_drink_freq","mean_social_media","mean_online_hrs","mean_sdq_conduct","mean_sdq_emotion","mean_sdq_hyperact","mean_sdq_peers","mean_sdq_prosocial","mean_sdq_total","mean_health","mean_disability","mean_happiness_index","mean_parent_index","mean_sib_index","mean_selfesteem_index","mean_tvhrs_index","mean_leisure_index"
10,2010,"Female",395,1.42857142857143,0.0487179487179487,0.416893732970027,1.3,2.16624040920716,3.31457800511509,3.8542199488491,2,8.58312020460358,11.3350383631714,NA,NA,6.0842194092827,2.89289330922242,3.10272208298524,NA,1.92030848329049,3.57760814249364
10,2010,"Male",405,1.33333333333333,0.055,0.305630026809651,1.16666666666667,2.71859296482412,2.82663316582915,4.33165829145729,2.03768844221106,7.575,11.9145728643216,NA,NA,5.975682382134,2.88344503233392,3.02760963142319,NA,1.90570719602978,3.84119106699752
11,2010,"Female",432,1,0.0401891252955083,0.559405940594059,1.40265486725664,1.96948356807512,2.75117370892019,3.52582159624413,1.58588235294118,8.30117647058823,9.84470588235294,NA,NA,6.12573643410853,2.85267373770854,3.2623822088202,NA,1.9953488372093,3.42388758782201
11,2010,"Male",397,2.5,0.119480519480519,0.493112947658402,1.24719101123595,2.68765743073048,2.66414141414141,4.32997481108312,2.06045340050378,7.5264483627204,11.75,NA,NA,5.94777497900924,2.83255367638239,3.00552599263201,NA,1.83291139240506,3.80661577608142
12,2010,"Female",380,2.55555555555556,0.140583554376658,0.75414364640884,1.61904761904762,2.02925531914894,3.01856763925729,3.77718832891247,1.48806366047745,7.97612732095491,10.2845744680851,NA,NA,5.93535087719298,2.82035087719298,3.14638630600169,NA,1.99208443271768,3.4
12,2010,"Male",418,1.33333333333333,0.175182481751825,0.60253164556962,1.28991596638655,2.41927710843374,2.30602409638554,4.23132530120482,1.68192771084337,7.20673076923077,10.6207729468599,NA,NA,5.88249400479616,2.79622351332878,3.1400633640553,NA,1.90361445783133,3.73975903614458
13,2010,"Female",423,2,0.342105263157895,0.83495145631068,1.78717201166181,2.07875894988067,3.19570405727924,3.95933014354067,1.54892601431981,7.89498806682578,10.799043062201,NA,NA,5.7756927949327,2.77753574242936,3.21214607464607,NA,2.03317535545024,3.11510791366907
13,2010,"Male",428,1.8,0.350588235294118,0.773399014778325,1.43630573248408,2.62232779097387,2.19002375296912,4.1187648456057,1.68408551068884,6.9501187648456,10.6152019002375,NA,NA,5.80931142410016,2.78174232309746,3.14681484295846,NA,1.84470588235294,3.69811320754717
14,2010,"Female",418,2.94230769230769,0.567632850241546,0.878712871287129,1.81408450704225,2.27511961722488,3.3133971291866,4.10287081339713,1.7200956937799,7.75837320574163,11.4114832535885,NA,NA,5.60454545454545,2.753668261563,3.08339034205231,NA,1.95215311004785,2.80815347721823
14,2010,"Male",380,2.32432432432432,0.549333333333333,0.801675977653631,1.52447552447552,2.50134048257373,2.07219251336898,4.24866310160428,1.60427807486631,6.79411764705882,10.4423592493298,NA,NA,5.74462081128748,2.72325187969925,3.19547109363623,NA,1.85676392572944,3.51458885941645
15,2010,"Female",415,2.60493827160494,0.922141119221411,0.884130982367758,1.8,2.15458937198068,3.4818401937046,4.01937046004843,1.67796610169492,7.88192771084337,11.3389830508475,NA,NA,5.55649717514124,2.77313253012048,3.09274360033031,NA,1.99277108433735,2.65060240963855
15,2010,"Male",408,2.78947368421053,0.8675,0.871536523929471,1.65507246376812,2.32587064676617,2.19900497512438,4.15671641791045,1.82338308457711,6.99502487562189,10.5049751243781,NA,NA,5.7166253101737,2.72987861811391,3.26300233966419,NA,1.84313725490196,3.48267326732673
10,2011,"Female",369,1.33333333333333,0.0810810810810811,0.452574525745257,1.25454545454545,NA,NA,NA,NA,NA,NA,4.04407713498623,NA,6.13753424657534,3.21138211382114,NA,3.16121058777735,2.14092140921409,1.6850887707595
10,2011,"Male",387,1.25,0.140776699029126,0.45974025974026,1.17045454545455,NA,NA,NA,NA,NA,NA,4.01832460732984,NA,5.97452504317789,3.32558139534884,NA,3.17587425595238,2.17357512953368,1.67162441401431
11,2011,"Female",398,1.66666666666667,0.111675126903553,0.64735516372796,1.35546875,NA,NA,NA,NA,NA,NA,3.88636363636364,NA,6.03930976430976,3.22418136020151,NA,3.18705132806892,2.23425692695214,1.6506370833197
11,2011,"Male",456,2.3,0.125,0.520879120879121,1.22784810126582,NA,NA,NA,NA,NA,NA,3.93777777777778,NA,5.93582966226138,3.25991189427313,NA,3.15703819989534,2.28021978021978,1.60836734693878
12,2011,"Female",450,1.16666666666667,0.232931726907631,0.786666666666667,1.60511363636364,NA,NA,NA,NA,NA,NA,3.81026785714286,NA,5.98497023809524,3.15212527964206,NA,3.14002380952381,2.26777777777778,1.58868650793651
12,2011,"Male",427,1.4,0.266129032258065,0.737089201877934,1.28662420382166,NA,NA,NA,NA,NA,NA,3.87028301886792,NA,5.91244131455399,3.18823529411765,NA,3.17325078616352,2.31967213114754,1.54101641917801
13,2011,"Female",413,1.58064516129032,0.492424242424242,0.854721549636804,1.74074074074074,NA,NA,NA,NA,NA,NA,3.60098522167488,NA,5.77961165048544,3.18004866180049,NA,3.06282716476421,2.26634382566586,1.5729017149114
13,2011,"Male",460,1.73809523809524,0.482758620689655,0.805676855895197,1.40489130434783,NA,NA,NA,NA,NA,NA,3.73951434878587,NA,5.82657952069717,3.13186813186813,NA,3.17094144003334,2.35185185185185,1.52223845114129
14,2011,"Female",441,2.5,0.789968652037618,0.891156462585034,1.89540816326531,NA,NA,NA,NA,NA,NA,3.5675057208238,NA,5.70151171579743,3.0250569476082,NA,3.00926406926407,2.26643990929705,1.53403083028083
14,2011,"Male",408,1.78461538461538,0.778169014084507,0.877149877149877,1.5266106442577,NA,NA,NA,NA,NA,NA,3.80693069306931,NA,5.77434318555008,3.13546798029557,NA,3.21133146133146,2.3009828009828,1.50646443714626
15,2011,"Female",416,2.73076923076923,1.13213213213213,0.932530120481928,1.8860103626943,NA,NA,NA,NA,NA,NA,3.42130750605327,NA,5.56402243589744,2.96385542168675,NA,2.98172590292156,2.18629807692308,1.50245123350545
15,2011,"Male",393,2.46835443037975,1.15151515151515,0.877237851662404,1.64619883040936,NA,NA,NA,NA,NA,NA,3.76227390180879,NA,5.71973572037511,2.94132653061225,NA,3.16772959183673,2.32270408163265,1.42638320438065
10,2012,"Female",365,5,0.134920634920635,0.744505494505495,0.616236162361624,1.78729281767956,2.76795580110497,3.25138121546961,1.60055096418733,8.68595041322314,9.40331491712707,NA,NA,6.24912523020258,2.90238747553816,3.24018661518662,NA,1.8958904109589,NA
10,2012,"Male",355,1.7,0.1953125,0.676056338028169,0.6375,2.44475920679887,2.48725212464589,4.20396600566572,2.07692307692308,7.85552407932011,11.1851851851852,NA,NA,6.00821529745043,2.86125419181757,3.10244750073943,NA,1.78591549295775,NA
11,2012,"Female",335,1.63636363636364,0.193798449612403,0.775449101796407,0.938223938223938,1.89253731343284,2.87164179104478,3.33832335329341,1.60597014925373,8.46567164179105,9.70359281437126,NA,NA,6.11278952668681,2.8216986496091,3.16529152915292,NA,1.93393393393393,NA
11,2012,"Male",350,1.71428571428571,0.3125,0.762857142857143,0.887640449438202,2.38904899135447,2.42363112391931,3.92795389048991,1.89913544668588,7.56195965417867,10.6397694524496,NA,NA,5.9864553314121,2.93077551020408,3.04919032830524,NA,1.82234957020057,NA
12,2012,"Female",374,1.63157894736842,0.25,0.871657754010695,1.31076923076923,2.02710027100271,3.11653116531165,3.82384823848238,1.57994579945799,8.16711590296496,10.5474254742547,NA,NA,5.83570151921358,2.81708683473389,3.23101990049751,NA,1.98118279569892,NA
12,2012,"Male",406,2.41666666666667,0.372781065088757,0.857142857142857,1.07225433526012,2.40493827160494,2.25432098765432,4.2320987654321,1.70864197530864,7.2716049382716,10.6,NA,NA,5.9299504950495,2.77700562983814,3.16318187652419,NA,1.80940594059406,NA
13,2012,"Female",366,1.78571428571429,0.417910447761194,0.92896174863388,1.57988165680473,2.06284153005464,3.15300546448087,3.70765027322404,1.4672131147541,7.89344262295082,10.3907103825137,NA,NA,5.76703196347032,2.74199193338538,3.17648351648352,NA,2.0327868852459,NA
13,2012,"Male",364,1.71428571428571,0.424581005586592,0.931318681318681,1.23372781065089,2.25414364640884,2.26243093922652,4.00276243093923,1.67403314917127,7.07734806629834,10.1933701657459,NA,NA,5.90686813186813,2.75554683411826,3.21280214213345,NA,1.79945054945055,NA
14,2012,"Female",379,2.38461538461538,0.74468085106383,0.910290237467018,1.72173913043478,1.9867374005305,3.47214854111406,3.67287234042553,1.55437665782493,7.94694960212202,10.7021276595745,NA,NA,5.65543766578249,2.7536248272396,3.20248630425622,NA,1.92307692307692,NA
14,2012,"Male",397,2.21818181818182,0.773809523809524,0.929292929292929,1.4441416893733,2.15989847715736,2.03553299492386,3.93401015228426,1.70812182741117,6.91878172588832,9.83756345177665,NA,NA,5.80322307039864,2.68939393939394,3.30875050875051,NA,1.76515151515152,NA
15,2012,"Female",387,2.44444444444444,1.05054151624549,0.945736434108527,1.75409836065574,1.9974025974026,3.66321243523316,3.88311688311688,1.65025906735751,7.98445595854922,11.1666666666667,NA,NA,5.63583765112263,2.7212870677987,3.29576218242399,NA,1.95336787564767,NA
15,2012,"Male",349,2.31506849315068,1.06299212598425,0.956896551724138,1.54380664652568,2.41329479768786,2.10951008645533,4.09798270893372,1.67341040462428,7.06666666666667,10.2947976878613,NA,NA,5.81053639846743,2.70665848001092,3.25434106763725,NA,1.80172413793103,NA
10,2013,"Female",310,1,0.0375,0.4,1.17741935483871,NA,NA,NA,NA,NA,NA,4.00328947368421,NA,6.0952688172043,3.23051948051948,NA,3.20176452458006,2.08469055374593,1.64806156209382
10,2013,"Male",291,1.5,0.0928571428571429,0.41522491349481,1.325,NA,NA,NA,NA,NA,NA,3.88111888111888,NA,6.0049255441008,3.32413793103448,NA,3.11638361638362,2.24570446735395,1.66166832586693
11,2013,"Female",341,1,0.0913978494623656,0.530791788856305,1.34444444444444,NA,NA,NA,NA,NA,NA,3.96142433234421,NA,6.1543756145526,3.22941176470588,NA,3.23330860534125,2.16470588235294,1.6133547008547
